Date,Action,Price
2024-01-17,BUY,185.84
2024-02-01,SELL,190.41
2024-02-13,BUY,184.53
2024-03-01,SELL,192.89
2024-06-07,BUY,211.6
2024-07-05,SELL,220.93
2024-11-11,BUY,242.14
2025-01-16,SELL,250.6
2025-05-14,BUY,293.16
2025-06-13,SELL,316.29
2025-06-27,BUY,301.22
2025-07-21,SELL,313.13
2025-07-30,BUY,300.96
2025-08-28,SELL,315.03
