Date,Action,Price
2023-12-11,BUY,1.0765
2023-12-22,SELL,1.1026
2024-01-12,BUY,1.0941
2024-02-29,SELL,1.08056
2024-04-19,BUY,1.0669
2024-05-15,SELL,1.0888
2024-06-21,BUY,1.0692
2024-07-07,SELL,1.08256
2024-08-01,BUY,1.07864
2024-08-14,SELL,1.10113
2024-09-09,BUY,1.10351
2025-02-18,SELL,1.04477
2025-05-12,BUY,1.10955
2025-06-13,SELL,1.15418
2025-07-16,BUY,1.16351
2025-08-15,SELL,1.1698
