Date,Action,Price
2024-04-12,BUY,510.85
2024-04-29,SELL,510.06
2024-07-24,BUY,541.23
2024-08-13,SELL,542.04
2024-10-31,BUY,568.64
2024-11-06,SELL,591.04
2024-12-18,BUY,586.28
2024-12-24,SELL,601.3
2024-12-30,BUY,588.22
2025-01-15,SELL,592.78
2025-02-24,BUY,597.21
2025-03-10,SELL (Stop Loss),560.58
2025-03-11,BUY,555.92
2025-03-24,SELL,574.08
2025-04-03,BUY,536.7
2025-04-04,SELL (Stop Loss),505.28
2025-04-07,BUY,504.38
2025-04-24,SELL,546.69
