Date,Action,Price
2024-04-17,BUY,500.55
2024-05-09,SELL,520.17
2024-08-05,BUY,517.38
2024-08-23,SELL,562.13
2025-02-27,BUY,585.05
2025-04-03,SELL (Stop Loss),536.7
2025-04-04,BUY,505.28
2025-05-07,SELL,561.15
